subj cond chan win        value        gmin        tgmin   gmax        tgmax  
co02 101  CPZ  +600..+748 -7.7763e+00 -1.1052e+01   0.644 -4.8543e+00   0.688
co02 101  CP6  +600..+748 -3.7997e+00 -5.3085e+00   0.648 -2.5422e+00   0.720
co02 101  P7   +600..+748 -5.2317e+00 -6.6716e+00   0.644 -3.8105e+00   0.736
co02 101  P3   +600..+748 -5.3639e+00 -8.5516e+00   0.644 -3.2124e+00   0.732
co02 101  PZ   +600..+748 -6.8531e+00 -1.0405e+01   0.644 -4.1968e+00   0.736
co02 101  P4   +600..+748 -7.4292e+00 -9.8060e+00   0.636 -5.5438e+00   0.732
co02 101  P8   +600..+748 -9.5858e+00 -1.1729e+01   0.744 -8.3738e+00   0.720
co02 101  PO3  +600..+748 -8.9808e+00 -1.1923e+01   0.644 -6.4133e+00   0.732
co02 101  POZ  +600..+748 -7.0638e+00 -1.0189e+01   0.644 -3.5880e+00   0.732
co02 101  PO4  +600..+748 -6.5843e+00 -9.2684e+00   0.636 -3.9882e+00   0.736
co02 101  OZ   +600..+748 -5.8375e+00 -7.9960e+00   0.644 -2.5579e+00   0.732
co02 102  F7   +600..+748 -4.3908e+00 -5.9215e+00   0.648 -2.0509e+00   0.704
co02 102  F3   +600..+748 -2.4966e+00 -4.7934e+00   0.648  5.0770e-01   0.704
co02 102  FZ   +600..+748 -3.0464e+00 -5.8768e+00   0.648  1.2002e+00   0.704
co02 102  F4   +600..+748 -4.4559e+00 -7.6475e+00   0.648 -1.4677e+00   0.704
co02 102  F8   +600..+748 -2.6743e+00 -4.2250e+00   0.644 -5.7726e-01   0.716
co02 102  FC5  +600..+748 -4.1857e+00 -5.8453e+00   0.648 -2.1709e+00   0.696
co02 102  FCZ  +600..+748 -3.5855e+00 -6.7723e+00   0.636  8.6055e-01   0.704
co02 102  FC6  +600..+748 -6.8397e+00 -8.4883e+00   0.628 -4.8180e+00   0.704
co02 102  C3   +600..+748 -5.5152e+00 -7.5796e+00   0.648 -2.7548e+00   0.704
co02 102  CZ   +600..+748 -5.3690e+00 -9.4049e+00   0.636 -1.0405e+00   0.704
co02 102  C4   +600..+748 -4.9957e+00 -7.9406e+00   0.628 -1.9141e+00   0.704
co02 102  CP5  +600..+748 -6.6979e+00 -7.8924e+00   0.676 -5.0047e+00   0.696
co02 102  CPZ  +600..+748 -6.5101e+00 -1.0561e+01   0.636 -2.6417e+00   0.704
co02 102  CP6  +600..+748 -5.6487e+00 -8.3050e+00   0.628 -3.2961e+00   0.684
co02 102  P7   +600..+748 -2.7685e+00 -4.2451e+00   0.728 -1.4739e+00   0.696
co02 102  P3   +600..+748 -3.7824e+00 -5.4803e+00   0.644 -1.9980e+00   0.696
co02 102  PZ   +600..+748 -6.4361e+00 -1.0113e+01   0.636 -3.2706e+00   0.696
co02 102  P4   +600..+748 -4.5685e+00 -8.3322e+00   0.628 -1.4698e+00   0.680
co02 102  P8   +600..+748 -4.1105e+00 -6.0404e+00   0.740 -1.0478e+00   0.672
co02 102  PO3  +600..+748 -7.6992e+00 -9.6156e+00   0.644 -5.3384e+00   0.688
co02 102  POZ  +600..+748 -5.6170e+00 -9.0570e+00   0.644 -2.9611e+00   0.696
co02 102  PO4  +600..+748 -5.5476e+00 -9.0992e+00   0.640 -2.9092e+00   0.688
co02 102  OZ   +600..+748 -4.4633e+00 -7.0658e+00   0.644 -2.5556e+00   0.696
co02 103  F7   +600..+748 -4.2829e+00 -6.3330e+00   0.728 -1.1425e+00   0.708
co02 103  F3   +600..+748 -5.4249e+00 -8.2519e+00   0.744 -3.3901e+00   0.700
co02 103  FZ   +600..+748 -4.7989e+00 -6.2690e+00   0.668 -3.3754e+00   0.716
co02 103  F4   +600..+748 -6.3257e+00 -7.7939e+00   0.724 -4.2728e+00   0.612
co02 103  F8   +600..+748 -3.1409e+00 -4.8972e+00   0.736 -1.6745e+00   0.700
co02 103  FC5  +600..+748 -6.3597e+00 -8.6976e+00   0.736 -3.5498e+00   0.700
co02 103  FCZ  +600..+748 -6.3693e+00 -8.8144e+00   0.736 -4.7538e+00   0.628
co02 103  FC6  +600..+748 -6.6745e+00 -8.3623e+00   0.736 -5.4888e+00   0.624
co02 103  C3   +600..+748 -6.4771e+00 -8.3486e+00   0.672 -4.9725e+00   0.700
co02 103  CZ   +600..+748 -6.2744e+00 -8.6751e+00   0.672 -3.6090e+00   0.608
co02 103  C4   +600..+748 -5.7122e+00 -7.4216e+00   0.736 -3.8638e+00   0.608
co02 103  CP5  +600..+748 -8.1185e+00 -9.4021e+00   0.672 -6.4224e+00   0.628
co02 103  CPZ  +600..+748 -6.7491e+00 -9.0115e+00   0.668 -4.6321e+00   0.628
co02 103  CP6  +600..+748 -5.6010e+00 -7.1490e+00   0.724 -3.9917e+00   0.624
co02 103  P7   +600..+748 -3.9736e+00 -5.0537e+00   0.672 -2.7588e+00   0.628
co02 103  P3   +600..+748 -5.4458e+00 -6.8527e+00   0.668 -4.2390e+00   0.628
co02 103  PZ   +600..+748 -7.1230e+00 -9.0618e+00   0.664 -5.6122e+00   0.628
co02 103  P4   +600..+748 -4.3383e+00 -5.8925e+00   0.708 -2.8352e+00   0.628
co02 103  P8   +600..+748 -7.3536e+00 -9.9841e+00   0.712 -6.2158e+00   0.660
co02 103  PO3  +600..+748 -7.1711e+00 -8.9905e+00   0.648 -6.1582e+00   0.628
co02 103  POZ  +600..+748 -5.1108e+00 -7.4907e+00   0.648 -4.4560e+00   0.628
co02 103  PO4  +600..+748 -5.3511e+00 -6.8699e+00   0.668 -4.3972e+00   0.628
co02 103  OZ   +600..+748 -3.6836e+00 -5.6507e+00   0.648 -1.3285e+00   0.732
co02 104  F7   +600..+748 -4.5766e+00 -7.1722e+00   0.660 -1.5360e+00   0.604
co02 104  F3   +600..+748 -5.2008e+00 -7.8642e+00   0.636 -3.0495e+00   0.712
co02 104  FZ   +600..+748 -5.3021e+00 -7.5632e+00   0.636 -3.3799e+00   0.712
co02 104  F4   +600..+748 -5.6513e+00 -8.0527e+00   0.636 -2.8538e+00   0.708
co02 104  F8   +600..+748 -3.1435e+00 -4.8623e+00   0.660 -1.6314e+00   0.712
co02 104  FC5  +600..+748 -5.3791e+00 -8.0995e+00   0.636 -3.6649e+00   0.712
co02 104  FCZ  +600..+748 -5.3701e+00 -7.8250e+00   0.648 -3.5825e+00   0.732
co02 104  FC6  +600..+748 -4.9204e+00 -6.5141e+00   0.636 -3.2709e+00   0.732
co02 104  C3   +600..+748 -7.4767e+00 -9.8660e+00   0.648 -5.5662e+00   0.732
co02 104  CZ   +600..+748 -5.2727e+00 -8.0248e+00   0.684 -2.2558e+00   0.732
co02 104  C4   +600..+748 -3.1221e+00 -5.2875e+00   0.648 -9.0607e-01   0.732
co02 104  CP5  +600..+748 -9.0492e+00 -1.0830e+01   0.680 -7.3944e+00   0.620
co02 104  CPZ  +600..+748 -6.7733e+00 -1.0336e+01   0.684 -2.9439e+00   0.736
co02 104  CP6  +600..+748 -3.8698e+00 -5.1674e+00   0.648 -2.2922e+00   0.620
co02 104  P7   +600..+748 -4.0535e+00 -5.8350e+00   0.688 -9.1607e-01   0.604
co02 104  P3   +600..+748 -3.8322e+00 -6.6730e+00   0.648 -1.0307e+00   0.736
co02 104  PZ   +600..+748 -7.0918e+00 -1.0776e+01   0.648 -2.7203e+00   0.736
co02 104  P4   +600..+748 -4.4350e+00 -7.6468e+00   0.648 -7.6398e-01   0.736
co02 104  P8   +600..+748 -7.5535e+00 -9.4777e+00   0.704 -4.6915e+00   0.620
co02 104  PO3  +600..+748 -7.5473e+00 -1.0960e+01   0.648 -5.3810e+00   0.620
co02 104  POZ  +600..+748 -5.5765e+00 -9.8491e+00   0.648 -7.8170e-01   0.732
co02 104  PO4  +600..+748 -5.6659e+00 -9.3808e+00   0.648 -1.2881e+00   0.736
co02 104  OZ   +600..+748 -5.1224e+00 -8.1093e+00   0.648 -1.9539e+00   0.732
co03 101  F7   +600..+748  3.4546e+00  1.3851e+00   0.704  6.1585e+00   0.612
co03 101  F3   +600..+748  3.3176e+00  2.9712e-01   0.692  6.8285e+00   0.612
co03 101  FZ   +600..+748  2.6024e+00 -9.2660e-01   0.692  7.1257e+00   0.620
co03 101  F4   +600..+748  2.1899e-01 -2.8525e+00   0.720  3.7918e+00   0.620
co03 101  F8   +600..+748  4.2838e-02 -2.1837e+00   0.704  3.2372e+00   0.620
